city,locality,bhk,total_sqft,price_inr,price_per_sqft,bhk_category
Bengaluru,Hosa Road,2,1431,10200000,7127.882599580713,2 BHK
Bengaluru,Hosa Road,2,1365,9800000,7179.48717948718,2 BHK
Bengaluru,Varthur,2,1205,7900000,6556.016597510374,2 BHK
Bengaluru,Varthur,2,1007,6570000,6524.329692154915,2 BHK
Bengaluru,Uttarahalli,3,2243,22799999,10164.957200178333,3 BHK
Bengaluru,Uttarahalli,3,2051,21200000,10336.421257922964,3 BHK
Bengaluru,Budigere Cross,3,1350,7200000,5333.333333333333,3 BHK
Bengaluru,Budigere Cross,3,1225,6500000,5306.122448979592,3 BHK
Bengaluru,Budigere Cross,2,1165,6200000,5321.888412017167,2 BHK
Bengaluru,Sarjapur,3,1315,4732000,3598.4790874524715,3 BHK
Bengaluru,Sarjapur,2,1320,4750000,3598.4848484848485,2 BHK
Bengaluru,Sarjapur,2,1250,4498000,3598.4,2 BHK
Bengaluru,Sarjapur,3,1290,4870000,3775.1937984496126,3 BHK
Bengaluru,Sarjapur,2,1290,4642000,3598.4496124031007,2 BHK
Bengaluru,Sarjapur,3,1365,4912000,3598.5347985347985,3 BHK
Bengaluru,Sarjapur,3,1500,5398000,3598.6666666666665,3 BHK
Bengaluru,Sarjapur,2,1200,4318000,3598.3333333333335,2 BHK
Bengaluru,Begur,3,1745,10800000,6189.111747851003,3 BHK
Bengaluru,Begur,2,1417,8868000,6258.292166549048,2 BHK
Bengaluru,Begur,3,1814,11399999,6284.453693495038,3 BHK
Bengaluru,Begur,2,1503,9366000,6231.536926147704,2 BHK
Bengaluru,JP Nagar Phase 9,3,1814,11200000,6174.2006615215,3 BHK
Bengaluru,JP Nagar Phase 9,3,1595,9888000,6199.373040752351,3 BHK
Bengaluru,JP Nagar Phase 9,3,1759,10800000,6139.8521887436045,3 BHK
Bengaluru,Koramangala,3,1839,25500000,13866.231647634584,3 BHK
Bengaluru,Koramangala,4,2461,34000000,13815.522145469322,4 BHK
Bengaluru,Koramangala,2,1249,17500000,14011.20896717374,2 BHK
Bengaluru,Koramangala,4,2503,34500000,13783.459848182181,4 BHK
Bengaluru,Koramangala,2,1385,19500000,14079.42238267148,2 BHK
Bengaluru,Nelamangala,3,1286,7100000,5520.99533437014,3 BHK
Bengaluru,Nelamangala,2,1163,6400000,5503.009458297506,2 BHK
Bengaluru,Nelamangala,2,966,5500000,5693.581780538302,2 BHK
Bengaluru,Nelamangala,2,814,4300000,5282.555282555282,2 BHK
Bengaluru,Nelamangala,2,708,3800000,5367.2316384180795,2 BHK
Bengaluru,ITPL,4,3360,26000000,7738.0952380952385,4 BHK
Bengaluru,ITPL,3,2210,18600000,8416.28959276018,3 BHK
Bengaluru,ITPL,3,1930,17300000,8963.730569948186,3 BHK
Bengaluru,ITPL,3,1890,17100000,9047.619047619048,3 BHK
Bengaluru,ITPL,2,1330,11800000,8872.180451127819,2 BHK
Bengaluru,Kanakapura Road Beyond Nice Ring Road,3,1635,7341000,4489.908256880734,3 BHK
Bengaluru,Kanakapura Road Beyond Nice Ring Road,3,1425,6398000,4489.824561403509,3 BHK
Bengaluru,Kanakapura Road Beyond Nice Ring Road,2,1300,5837000,4490.0,2 BHK
Bengaluru,Kanakapura Road Beyond Nice Ring Road,2,1005,4512000,4489.55223880597,2 BHK
Bengaluru,Hebbal,4,4600,66900000,14543.478260869566,4 BHK
Bengaluru,Hebbal,5,8331,170600000,20477.733765454326,5+ BHK
Bengaluru,Hebbal,5,8902,182300000,20478.54414738261,5+ BHK
Bengaluru,Hebbal,5,5112,74300000,14534.428794992175,5+ BHK
Bengaluru,Hebbal,4,6500,60100000,9246.153846153846,4 BHK
Bengaluru,Hebbal,4,3900,36000000,9230.76923076923,4 BHK
Bengaluru,Hebbal,4,3895,36000000,9242.618741976894,4 BHK
